class1,class2,class3,class4,class5,class6,class7,class8,class9,class10
{-3.049,0.084,0.981,1.193,0.761,0.495,-0.714,-0.466,-0.568,-.149}
{-2.837,0.528,0.241,1.629,0.23,-0.545,-0.643,-0.231,-0.186,.450}
{-1.611,0.831,-0.056,-0.048,-0.044,-0.423,0.289,-0.092,-0.633,.221}
{-2.939,2.157,-0.451,-0.209,-0.88,0.697,0.823,-0.035,-0.744,-.193}
{-2.842,1.343,-0.713,0.003,0.126,0.411,0.538,-0.077,-0.995,.092}
{-3.587,3.128,0.885,-0.188,-1.164,-0.215,0.051,1.344,-0.641,-.253}
{-4.222,3.886,0.016,-0.144,-1.132,-0.053,0.519,1.024,0.075,-.226}
{-4.087,2.555,0.123,-0.151,0.118,0.474,0.365,0.495,-0.473,-.886}
{-4.442,2.607,0.596,0.191,0.636,0.679,-0.14,0.774,-0.828,-1.122}
{-2.976,1.033,-0.222,-0.099,0.081,0.052,0.479,0.517,-1.105,-.125}
},{,,,,,,,,
{-3.689,-0.599,0.692,1.307,0.605,1.514,-0.752,-0.697,-0.355,.702}
{-3.278,0.324,1.047,1.152,0.725,0.168,-0.839,-0.381,-0.687,.013}
{-3.249,1.042,0.589,1.408,0.023,-0.821,-0.581,0.031,0.068,.325}
{-1.596,0.885,-0.199,0.199,-0.115,-0.474,0.428,-0.113,-0.61,.131}
{-2.986,2.072,-0.311,-0.083,-0.878,0.449,0.916,0.082,-0.905,-.109}
{-3.003,1.163,-0.45,0.328,0.097,0.574,0.427,-0.017,-1.146,-.060}
{-3.682,3.672,0.041,-0.508,-0.905,0.028,0.492,0.654,-0.722,-.318}
{-4.210,3.869,0.164,-0.047,-1.251,-0.102,0.276,0.919,0.091,-.159}
{-4.129,2.686,0.308,-0.125,0.117,0.393,0.199,0.308,-0.478,-.909}
{-4.497,3.018,0.609,0.115,0.673,0.709,-0.03,0.861,-0.704,-1.038}
{-2.846,1.01,-0.219,-0.083,0.091,0.076,0.442,0.509,-1.181,-.021}
},{,,,,,,,,
{-3.693,-0.568,0.727,1.236,0.612,1.502,-0.804,-0.763,-0.346,.788}
{-3.543,0.624,0.674,1.413,0.653,-0.445,-0.803,-0.256,-0.65,.423}
{-3.293,0.93,0.522,1.48,0.249,-0.661,-0.643,-0.094,-0.132,.198}
{-1.708,0.944,-0.14,0.151,-0.092,-0.481,0.22,0.034,-0.692,.190}
{-2.942,2.091,-0.353,-0.364,-0.61,0.401,0.864,0.191,-0.764,-.235}
{-3.253,1.025,-0.286,0.713,-0.036,0.539,0.476,-0.116,-0.945,-.108}
{-3.661,3.266,-0.117,-0.237,-0.755,0.092,0.686,0.381,-0.58,-.687}
{-4.216,3.638,0.192,-0.023,-1.231,-0.32,0.128,1.03,0.061,-.179}
{-4.077,2.542,0.039,0.082,0.218,0.393,0.324,0.399,-0.658,-.964}
{-4.544,3.046,1.028,-0.016,0.447,0.884,-0.094,0.885,-0.459,-1.099}
{-2.711,0.971,-0.023,0.053,0.101,-0.148,0.382,0.476,-1.05,-.256}
},{,,,,,,,,
{-3.322,-0.303,-0.5,0.963,0.921,0.981,1.059,-1.079,-1.004,.112}
{-3.844,1.056,-0.19,1.685,0.617,1.245,-0.811,-0.506,-1.128,.076}
{-2.665,0.772,-1.009,1.307,0.287,0.855,-0.466,-0.19,-0.721,.407}
{-2.493,1.382,-0.929,0.465,-0.369,0.002,0.187,-0.696,-0.31,.348}
{-2.905,2.311,-0.658,0.022,-1.121,0.25,0.467,0.484,-0.157,-.676}
{-2.685,1.971,-0.857,0.033,-0.638,0.484,0.143,0.159,-0.218,-.343}
{-3.389,2.762,-0.71,-0.026,-0.641,0.112,0.775,0.443,-0.11,-.979}
{-4.243,3.354,-0.415,0.898,-1.027,-0.281,0.576,0.48,0.564,-.085}
{-3.741,2.7,-1.593,0.782,-0.298,1.378,0.184,1.458,-0.134,-1.297}
{-4.694,3.229,-1.153,0.702,0.452,0.298,0.454,0.001,-0.264,-1.399}
{-3.012,1.628,-0.834,0.975,-0.299,0.926,0.174,0.836,-0.239,-1.144}
},{,,,,,,,,
{-3.268,-0.079,-0.693,0.763,1.043,1.194,0.892,-1.293,-1.033,.199}
{-3.618,0.916,-0.4,1.771,0.666,1.535,-0.389,-0.342,-1.279,-.109}
{-2.693,0.771,-0.87,1.341,0.317,0.925,-0.328,-0.169,-0.936,.399}
{-2.515,1.34,-0.84,0.511,-0.492,0.098,0.047,-0.68,-0.283,.168}
{-2.882,2.165,-0.589,0.173,-1.165,0.014,0.571,0.502,-0.093,-.616}
{-2.591,1.809,-0.659,-0.016,-0.673,0.588,0.084,0.182,-0.094,-.372}
{-3.354,2.85,-0.887,0.01,-0.551,0.293,0.901,0.32,-0.302,-1.023}
{-4.228,3.111,-0.38,1.16,-1.188,-0.362,0.516,0.507,0.669,-.074}
{-3.901,2.485,-0.95,0.702,-0.47,1.146,-0.109,1.597,0.146,-1.197}
{-4.708,3.269,-1.121,0.701,0.437,0.176,0.552,0.004,-0.168,-1.484}
{-3.000,1.524,-0.866,1.015,-0.4,0.861,0.174,0.938,-0.216,-1.010}
},{,,,,,,,,
{-3.347,-0.159,-0.414,0.922,0.973,0.978,0.929,-1.211,-1.268,.278}
{-3.518,0.716,-0.365,1.788,0.584,1.678,-0.109,-0.016,-1.501,.002}
{-2.875,0.868,-0.728,1.439,0.355,0.846,-0.378,-0.233,-1.072,.505}
{-2.612,1.403,-0.87,0.47,-0.448,0.172,-0.06,-0.656,-0.334,.087}
{-2.859,2.255,-0.676,0.098,-1.086,0.041,0.732,0.305,-0.141,-.636}
{-2.497,1.692,-0.607,0.02,-0.71,0.612,0.093,0.272,-0.06,-.507}
{-3.236,2.745,-0.806,-0.2,-0.386,0.358,0.889,0.516,-0.297,-1.075}
{-4.188,3.229,-0.456,1.077,-1.385,-0.104,0.459,0.558,0.701,-.320}
{-3.775,2.188,-1.017,0.687,-0.464,1.189,-0.157,1.673,-0.024,-1.144}
{-4.744,3.385,-0.886,0.571,0.235,0.183,0.357,0.04,0.203,-1.680}
{-3.046,1.462,-0.823,0.935,-0.44,0.849,0.085,0.865,-0.178,-.954}
},{,,,,,,,,
{-3.594,-0.137,-0.028,1.018,1.069,0.723,0.695,-0.982,-1.433,.249}
{-3.426,0.584,-0.469,1.776,0.566,1.686,0.07,0.081,-1.483,-.141}
{-3.086,1.01,-0.627,1.508,0.338,0.747,-0.479,-0.323,-1.087,.645}
{-2.750,1.475,-0.848,0.364,-0.275,0.02,-0.003,-0.782,-0.291,.167}
{-2.846,2.43,-0.78,-0.153,-0.905,0.24,0.746,0.14,-0.114,-.746}
{-2.511,1.511,-0.555,0.226,-0.735,0.631,-0.006,0.52,-0.138,-.651}
{-3.124,2.733,-0.857,-0.334,-0.312,0.587,0.849,0.475,-0.174,-.899}
{-4.175,3.32,-0.446,0.988,-1.48,0.133,0.507,0.605,0.691,-.462}
{-3.777,2.064,-0.983,0.846,-0.373,0.96,-0.04,1.331,0.247,-1.090}
{-4.788,3.632,-0.71,0.3,0.366,-0.121,0.403,-0.016,0.124,-1.320}
{-3.006,1.407,-0.875,0.945,-0.495,0.721,0.212,0.75,-0.037,-1.054}
},{,,,,,,,,
{-3.781,-0.011,0.102,1.115,1.036,0.651,0.615,-1.082,-1.272,.050}
{-3.394,0.557,-0.573,1.704,0.608,1.644,0.109,0.2,-1.507,-.225}
{-3.091,0.935,-0.574,1.36,0.416,0.764,-0.48,-0.144,-1.295,.696}
{-2.850,1.446,-0.792,0.482,-0.365,0.046,-0.029,-0.761,-0.251,.113}
{-2.884,2.424,-0.764,-0.108,-1.015,0.361,0.712,0.133,-0.017,-.847}
{-2.656,1.263,-0.527,0.464,-0.612,0.668,-0.16,0.857,-0.416,-.596}
{-3.246,2.796,-0.867,-0.205,-0.316,0.808,0.824,0.062,-0.118,-.749}
{-4.172,3.188,-0.375,1.028,-1.41,0.008,0.513,0.635,0.802,-.280}
{-3.862,1.801,-0.717,1.133,-0.23,0.922,-0.223,1.264,0.194,-.935}
{-4.836,3.871,-0.684,0.182,0.349,-0.176,0.317,0.059,-0.024,-1.130}
{-2.973,1.304,-0.849,0.984,-0.508,0.59,0.248,0.728,0.073,-1.107}
},{,,,,,,,,
{-3.858,0.115,0.05,1.17,0.975,0.703,0.585,-1.191,-1.172,-.076}
{-3.404,0.506,-0.591,1.627,0.66,1.456,0.068,0.381,-1.494,-.453}
{-2.952,0.777,-0.74,1.311,0.424,0.853,-0.319,-0.082,-1.456,.616}
{-3.005,1.472,-0.716,0.535,-0.392,0.054,-0.054,-0.686,-0.29,.153}
{-2.898,2.421,-0.81,-0.043,-1.164,0.448,0.69,0.218,-0.078,-.876}
{-2.906,1.102,-0.491,0.575,-0.386,0.771,-0.134,0.977,-0.54,-.604}
{-3.462,2.648,-0.447,0,-0.416,0.767,0.569,-0.072,-0.08,-.798}
{-4.076,3.336,-0.688,0.677,-1.472,0.461,0.682,0.724,0.717,-.409}
{-3.846,1.426,-0.607,1.434,-0.072,1.13,-0.535,1.159,-0.123,-.385}
{-4.885,3.967,-0.948,0.373,0.255,-0.121,0.43,-0.013,0.018,-1.518}
{-2.980,1.29,-0.842,0.955,-0.491,0.572,0.267,0.692,0.084,-1.100}
},{,,,,,,,,
{-3.208,-0.608,-0.516,1.098,1.529,1.069,0.186,-0.947,-0.248,-.059}
{-2.569,-0.11,-0.841,0.732,1.112,0.961,-0.075,0.148,-0.893,.314}
{-2.210,0.661,-0.581,1.139,0.238,0.074,-0.625,-0.366,-0.326,.557}
{-1.885,2.214,-0.673,0.147,-0.148,-0.4,0.252,-0.098,-0.874,.245}
{-2.488,2.822,-0.239,-0.33,-1.355,0.284,0.101,0.934,-0.966,-.310}
{-2.335,2.896,-0.295,-0.42,-0.645,0.351,0.12,0.447,-1.126,.110}
{-2.715,2.325,0.701,0.239,-1.426,-0.218,-0.317,1.516,-0.162,-.703}
{-4.210,3.289,-0.106,-1.247,-0.683,0.539,0.579,0.832,-0.035,-.764}
{-3.984,2.29,-0.103,-0.707,0.297,0.317,0.857,1.403,-1.253,-.298}
{-4.964,2.78,0.474,0.047,0.417,-0.328,0.334,0.474,-1.26,-.221}
{-2.528,1.288,-0.144,-0.171,-0.077,0.26,-0.045,0.681,-1.399,-.066}
},{,,,,,,,,
{-3.431,-0.5,-0.362,1.173,1.59,0.956,0.162,-0.853,-0.364,.084}
{-2.659,-0.101,-0.687,0.697,1.081,1.045,-0.149,0.184,-0.927,.327}
{-2.103,0.655,-0.84,1.195,0.377,0.135,-0.504,-0.549,-0.404,.602}
{-1.926,2.172,-0.571,0.257,-0.159,-0.493,0.27,-0.153,-0.673,-.005}
{-2.512,2.826,-0.171,-0.385,-1.495,0.381,0.067,0.899,-0.902,-.412}
{-2.353,2.897,-0.433,-0.193,-0.715,0.359,0.26,0.273,-1.206,.360}
{-2.708,2.396,0.728,0.336,-1.437,-0.344,-0.411,1.469,-0.022,-.717}
{-4.341,3.514,-0.453,-1.047,-0.469,0.51,0.618,0.801,-0.399,-.777}
{-4.045,2.193,0.2,-0.745,0.215,0.387,0.625,1.477,-1.207,-.270}
{-5.020,2.551,0.562,-0.136,0.531,-0.064,0.373,0.631,-1.407,-.267}
{-2.665,1.633,-0.384,-0.111,-0.001,0.234,0.033,0.478,-1.558,.219}
},{,,,,,,,,
{-3.586,-0.38,-0.359,1.307,1.587,0.99,0.18,-0.831,-0.471,.198}
{-2.889,-0.039,-0.494,0.719,1.104,1.003,-0.415,0.097,-0.855,.356}
{-2.282,0.673,-0.798,1.286,0.308,0.01,-0.411,-0.61,-0.266,.584}
{-1.985,2.161,-0.601,0.424,-0.295,-0.489,0.208,-0.216,-0.562,.079}
{-2.563,2.829,-0.283,-0.368,-1.593,0.408,0.121,0.933,-0.946,-.356}
{-2.415,2.517,-0.285,0.085,-0.902,0.283,0.302,0.247,-1.207,.371}
{-2.776,2.563,0.532,0.277,-1.47,-0.368,-0.278,1.479,-0.164,-.797}
{-4.384,3.721,-0.905,-0.965,-0.16,0.498,0.809,0.66,-0.613,-.831}
{-4.107,2.17,0.206,-0.811,0.334,0.633,0.402,1.097,-1.327,-.040}
{-5.069,2.119,0.826,-0.274,0.576,0.145,0.308,1.001,-1.412,-.306}
{-2.812,1.954,-0.661,0.109,-0.011,0.11,0.187,0.096,-1.538,.592}
},{,,,,,,,,
{-3.760,-0.32,-0.24,1.273,1.751,1.125,0.23,-0.723,-0.501,.315}
{-3.152,0.086,-0.325,0.868,1.084,0.753,-0.522,-0.005,-0.821,.483}
{-2.558,0.755,-0.66,1.366,0.038,-0.011,-0.443,-0.531,-0.062,.418}
{-2.010,2.164,-0.626,0.389,-0.24,-0.441,0.103,-0.27,-0.647,.165}
{-2.601,2.735,-0.322,-0.255,-1.67,0.229,0.202,1.01,-0.871,-.461}
{-2.521,2.271,-0.277,0.27,-0.909,0.274,0.348,-0.028,-1.177,.432}
{-2.922,2.621,0.214,0.122,-1.477,-0.173,0.045,1.38,-0.635,-.757}
{-4.417,3.765,-1.225,-0.853,0.041,0.536,0.885,0.533,-0.757,-.789}
{-4.070,2.254,-0.28,-0.722,0.696,0.683,0.243,0.689,-1.45,.190}
{-5.080,2.241,0.971,-0.374,0.501,0.226,0.144,0.851,-1.319,-.300}
{-2.930,2.014,-0.7,0.206,-0.088,0.153,0.142,-0.031,-1.437,.615}
},{,,,,,,,,
{-4.247,-0.034,0.248,1.372,1.831,1.167,0.087,-0.518,-0.316,.347}
{-3.183,0.154,-0.413,0.923,1.091,0.582,-0.447,-0.085,-0.904,.693}
{-2.514,0.558,-0.777,1.299,0.027,0.247,-0.487,-0.653,-0.028,.481}
{-2.041,2.119,-0.585,0.549,-0.43,-0.291,-0.002,-0.234,-0.751,.253}
{-2.640,2.704,-0.345,-0.23,-1.649,0.064,0.275,0.952,-0.651,-.571}
{-2.729,2.104,-0.505,0.138,-0.533,0.455,0.148,-0.407,-1.059,.625}
{-3.025,2.711,-0.147,-0.034,-1.34,0.049,0.364,1.099,-1.02,-.652}
{-4.415,3.737,-1.313,-0.815,0.168,0.59,0.975,0.42,-0.825,-.748}
{-4.036,2.141,-0.355,-0.602,0.837,0.663,-0.013,0.507,-1.412,.210}
{-5.158,2.488,1.064,-0.343,0.352,0.18,-0.05,0.817,-1.308,-.249}
{-2.907,1.992,-0.904,0.205,0.011,0.346,-0.031,-0.148,-1.262,.487}
},{,,,,,,,,
{-4.687,0.406,0.889,1.464,1.618,1.021,-0.121,-0.398,-0.307,.293}
{-3.096,0.103,-0.452,0.879,1.067,0.497,-0.296,-0.067,-0.973,.711}
{-2.452,0.279,-0.805,1.141,0.239,0.176,-0.104,-0.752,-0.334,.731}
{-2.081,2.043,-0.521,0.578,-0.463,-0.246,-0.041,-0.162,-0.814,.425}
{-2.658,2.739,-0.382,-0.31,-1.64,0.081,0.276,0.884,-0.535,-.548}
{-2.982,2.001,-0.915,0.188,0.035,0.467,-0.13,-0.689,-0.684,.664}
{-3.098,2.525,-0.316,-0.322,-1.082,0.285,0.445,0.847,-0.951,-.707}
{-4.403,3.602,-0.945,-0.934,0.041,0.409,1.003,0.47,-0.477,-.621}
{-4.200,2.201,-0.31,-0.392,0.968,0.7,-0.328,0.129,-0.896,.150}
{-5.211,2.544,0.82,-0.333,0.447,0.226,0.127,0.89,-1.389,-.304}
{-2.752,1.778,-0.718,0.057,-0.009,0.402,0.121,0.05,-1.435,.281}
},{,,,,,,,,
{-5.058,2.236,1.381,1.885,-0.259,-0.483,-0.562,0.123,-0.063,.663}
{-4.181,1.646,0.736,1.286,0.724,-0.511,-1.126,-0.45,-0.648,.995}
{-3.753,0.828,-0.042,1.406,0.209,-0.53,-0.52,-0.4,-0.386,1.070}
{-3.494,1.207,-0.607,0.242,-0.43,0.131,0.236,0.545,-0.593,.678}
{-2.813,2.327,-1.246,-0.184,-0.755,0.491,1.202,-0.558,-0.669,.054}
{-3.133,1.983,-1.398,0.254,-0.667,0.532,0.389,-0.178,-0.584,.844}
{-3.749,3.018,-0.755,-0.452,-0.666,0.209,0.741,0.9,-1.613,.128}
{-4.373,4.643,-0.792,-1.332,-0.202,0.597,0.192,1.133,-1.131,-.280}
{-4.468,4.121,-0.42,-1.197,0.338,0.6,-0.11,0.314,-1.248,-.012}
{-4.902,4.49,-0.564,-0.536,-0.164,-0.298,0.842,-0.158,-0.906,.358}
{-4.125,2.3,-0.167,-0.27,0.103,0.32,-0.467,-0.254,-0.415,.863}
},{,,,,,,,,
{-5.124,2.319,1.413,1.804,-0.277,-0.33,-0.746,0.221,0.06,.460}
{-4.393,2.137,0.57,1.397,0.293,-0.836,-0.966,-0.461,-0.277,1.184}
{-3.961,1.078,0.11,1.232,0.21,-0.67,-0.536,-0.33,-0.268,1.098}
{-3.654,1.222,-0.574,0.248,-0.299,0.158,0.154,0.553,-0.58,.617}
{-3.001,2.263,-1.178,-0.116,-0.922,0.536,1.286,-0.506,-0.566,-.102}
{-3.417,1.984,-1.148,0.234,-0.778,0.411,0.494,0.13,-0.704,.764}
{-3.887,3.172,-0.739,-0.69,-0.548,0.33,0.569,0.98,-1.609,.283}
{-4.474,4.569,-1.069,-1.409,0.137,1.049,0.071,0.877,-1.355,-.167}
{-4.471,4.096,-0.809,-0.881,0.646,0.539,0.04,0.142,-1.555,-.023}
{-4.947,4.637,-0.444,-0.953,-0.119,-0.249,0.594,0.27,-0.783,.265}
{-4.173,2.299,-0.298,-0.13,0.122,0.319,-0.388,-0.328,-0.48,.990}
},{,,,,,,,,
{-5.131,2.192,1.364,1.936,-0.591,-0.354,-0.677,0.15,0.178,.380}
{-4.395,1.864,0.503,1.718,0.241,-0.817,-0.672,-0.687,-0.449,1.396}
{-4.058,1.072,0.157,1.136,0.385,-0.687,-0.583,-0.185,-0.3,1.177}
{-3.631,1.195,-0.719,0.13,-0.065,0.348,-0.061,0.555,-0.594,.806}
{-3.434,2.26,-1.065,-0.122,-0.795,0.363,1.403,-0.507,-0.375,.015}
{-3.765,1.97,-0.955,0.304,-0.735,0.41,0.38,0.146,-0.536,.738}
{-3.975,3.066,-0.506,-0.827,-0.478,0.434,0.356,0.939,-1.309,.204}
{-4.497,4.5,-1.446,-1.127,0.443,0.986,0.136,0.597,-1.087,-.073}
{-4.475,4.064,-0.927,-0.678,0.599,0.445,0.224,0.103,-1.336,-.192}
{-5.011,4.976,-0.868,-1.215,0.17,-0.018,0.543,0.154,-0.841,.707}
{-4.151,2.069,-0.605,0.111,0.41,0.354,-0.284,-0.381,-0.507,.737}
},{,,,,,,,,
{-5.125,2.077,1.283,2.003,-0.734,-0.513,-0.557,0.055,0.295,.269}
{-4.316,1.409,0.441,1.819,0.5,-0.617,-0.633,-0.621,-0.671,1.193}
{-4.149,1.129,-0.008,1.215,0.39,-0.474,-0.4,-0.343,-0.344,.886}
{-3.581,1.188,-0.958,0.189,-0.077,0.451,0.049,0.449,-0.676,.919}
{-3.828,2.367,-0.836,-0.343,-0.466,0.116,1.172,-0.175,-0.275,.117}
{-3.820,1.705,-1.13,0.45,-0.471,0.665,0.298,-0.175,-0.473,.848}
{-3.949,2.99,-0.643,-0.986,-0.175,0.768,0.249,0.803,-1.479,.168}
{-4.471,4.461,-1.887,-0.799,0.719,0.938,0.239,0.342,-1.036,-.060}
{-4.580,4.116,-0.753,-0.849,0.516,0.498,0.117,0.181,-1.256,-.119}
{-5.049,4.846,-0.678,-0.877,-0.09,0.005,0.253,-0.078,-0.178,.131}
{-4.115,1.856,-0.738,0.132,0.658,0.329,-0.252,-0.123,-0.53,.456}
},{,,,,,,,,
{-5.143,2.051,1.216,1.898,-0.555,-0.466,-0.842,0.011,0.461,.193}
{-4.403,1.409,0.551,1.496,0.673,-0.616,-0.787,-0.382,-0.696,1.139}
{-4.316,1.272,-0.087,1.285,0.126,-0.128,-0.286,-0.463,-0.294,.691}
{-3.622,1.111,-0.972,0.399,-0.402,0.527,0.271,0.373,-0.716,.943}
{-3.850,2.28,-1.055,-0.335,-0.164,0.41,0.913,-0.391,-0.338,.260}
{-3.962,1.724,-1.29,0.531,-0.17,0.528,0.282,-0.149,-0.603,1.139}
{-3.894,2.91,-0.968,-0.671,-0.131,0.519,0.591,0.708,-1.515,.121}
{-4.469,4.348,-1.74,-0.886,0.447,0.883,0.374,0.577,-0.908,-.089}
{-4.661,4.235,-0.497,-1.021,0.295,0.457,-0.019,0.345,-1.355,.062}
{-5.040,5.074,-1.721,-0.264,0.279,0.176,0.003,-0.609,-0.177,.422}
{-4.169,1.799,-0.621,0.025,0.706,0.362,-0.343,-0.049,-0.339,.220}
},{,,,,,,,,
{-5.105,1.968,1.14,1.719,-0.443,-0.432,-0.969,-0.173,0.551,.176}
{-4.544,1.672,0.643,1.281,0.504,-0.803,-0.709,-0.229,-0.546,1.058}
{-4.426,1.167,0.008,1.315,0.189,-0.297,-0.124,-0.244,-0.423,.684}
{-3.622,0.988,-1.108,0.685,-0.693,0.754,0.442,0.166,-0.458,.738}
{-3.597,2.146,-1.492,-0.142,-0.297,0.815,0.87,-0.49,-0.471,.410}
{-4.122,1.735,-1.34,0.615,0.03,0.353,0.345,-0.104,-0.54,.988}
{-4.065,2.876,-0.856,-0.221,-0.533,0.232,0.855,0.633,-1.452,.272}
{-4.513,4.265,-1.477,-1.09,0.215,0.829,0.342,0.693,-0.601,-.056}
{-4.651,4.246,-0.823,-0.831,0.666,0.546,-0.3,0.094,-1.343,.185}
{-5.034,4.993,-1.633,-0.285,0.398,0.181,-0.211,-0.508,-0.283,.304}
{-4.261,1.827,-0.482,-0.194,0.731,0.354,-0.478,0.05,-0.112,.321}
},{,,,,,,,,
{-1.149,-0.904,-1.988,0.739,-0.06,1.206,0.864,1.196,-0.3,-.467}
{-2.613,-0.092,-0.54,0.484,0.389,1.741,0.198,0.257,-0.375,-.604}
{-2.505,0.632,-0.593,0.304,0.496,0.824,-0.162,0.181,-0.363,-.764}
{-1.768,1.769,-1.142,-0.739,-0.086,0.12,-0.23,0.217,-0.009,-.279}
{-2.671,3.155,-0.514,0.133,-0.964,0.234,-0.071,1.192,0.254,-.471}
{-2.509,1.326,0.354,0.663,-0.724,0.418,-0.496,0.713,0.638,-.204}
{-2.764,1.111,0.727,1.54,-0.855,0.261,-1.11,0.227,0.42,.991}
{-3.816,3.426,0.224,-0.384,-1.733,0.434,-0.322,1.333,0.653,.577}
{-3.839,1.248,0.83,0.982,-1.11,0.617,-0.751,0.084,0.309,1.125}
{-4.982,1.538,0.96,1.253,-0.64,0.588,-0.484,-0.31,-0.246,1.180}
{-2.895,0.682,-0.151,0.218,-0.689,1.118,-0.264,0.922,0.757,.327}
},{,,,,,,,,
{-1.093,-0.922,-2.091,0.844,0.009,1.247,0.891,1.453,-0.089,-.400}
{-2.499,0.119,-0.82,0.346,0.347,1.696,0.245,0.689,-0.084,-.596}
{-2.633,0.672,-0.372,0.439,0.437,0.907,-0.402,-0.04,-0.366,-.741}
{-1.707,1.652,-1.012,-0.622,-0.293,0.279,-0.276,0.477,0.05,-.200}
{-2.696,3.129,-0.52,0.294,-0.989,0.019,-0.066,1.106,0.361,-.396}
{-2.592,1.617,0.267,0.38,-0.777,0.487,-0.206,0.733,0.592,-.403}
{-2.733,1.088,0.761,1.694,-0.833,0.292,-1.069,0.266,0.369,1.034}
{-3.835,3.339,0.29,-0.126,-1.68,0.195,-0.368,1.328,0.523,.861}
{-3.915,2.158,0.781,0.643,-1.023,0.598,-0.718,0.274,0.376,.770}
{-4.848,1.115,0.932,1.615,-0.589,0.592,-0.446,-0.366,-0.447,1.294}
{-2.982,0.522,-0.1,0.362,-0.66,1.115,-0.305,0.859,0.637,.344}
},{,,,,,,,,
{-1.784,-1.074,-1.661,1.324,0.289,1.303,0.924,1.307,-0.346,-.521}
{-1.890,0.207,-1.161,0.027,-0.047,1.581,0.277,1.129,0.366,-.250}
{-2.677,0.486,-0.061,0.517,0.222,1.102,-0.425,-0.096,-0.373,-.484}
{-1.716,1.186,-0.809,-0.515,-0.35,0.29,-0.404,0.678,0.172,-.212}
{-2.769,2.906,-0.194,0.349,-0.958,0.089,-0.245,1.004,0.6,-.336}
{-2.625,1.551,0.298,0.324,-1.05,0.746,0.067,0.603,0.342,-.413}
{-2.632,0.881,0.71,1.8,-0.75,0.33,-1.128,0.177,0.339,1.166}
{-3.888,3.085,0.436,0.142,-1.526,-0.052,-0.503,1.085,0.511,.976}
{-3.824,1.832,1.093,1.024,-1.09,0.56,-0.336,0.299,0.126,1.005}
{-4.813,1.042,0.887,1.661,-0.534,0.747,-0.513,-0.448,-0.412,1.214}
{-2.971,0.463,-0.195,0.323,-0.625,0.941,-0.327,0.78,0.552,.436}
},{,,,,,,,,
{-2.698,-1.027,-0.94,1.796,0.392,1.33,0.866,0.781,-0.838,-.663}
{-1.358,0.136,-1.082,-0.148,-0.609,1.464,0.144,1.149,0.481,.119}
{-2.594,0.621,-0.292,0.521,0.26,1.204,-0.337,0.261,-0.332,-.510}
{-1.793,0.925,-0.739,-0.396,-0.211,0.329,-0.403,0.604,0.197,-.251}
{-2.920,2.697,-0.116,0.451,-0.859,-0.035,-0.307,0.874,0.622,-.301}
{-2.696,1.26,0.436,0.657,-1.161,0.805,0.062,0.575,0.182,-.334}
{-2.484,0.559,0.624,1.951,-0.646,0.381,-1.106,0.036,0.24,1.291}
{-3.989,3.049,0.304,0.209,-1.26,-0.205,-0.735,0.862,0.551,1.114}
{-3.776,1.752,0.92,0.722,-1.164,0.774,-0.01,0.657,0.248,1.055}
{-4.717,0.829,0.853,1.98,-0.546,0.688,-0.434,-0.424,-0.636,1.245}
{-3.108,0.926,-0.389,0.249,-0.461,0.816,-0.226,0.818,0.387,.303}
},{,,,,,,,,
{-3.366,-0.826,-0.405,1.643,0.603,1.226,0.524,0.293,-0.858,-.668}
{-1.530,0.029,-0.925,0.054,-0.565,1.593,0.123,1.117,0.338,.026}
{-1.817,0.559,-0.801,0.234,0.011,1.215,-0.161,0.809,0.018,-.382}
{-1.969,0.835,-0.671,-0.27,0.028,0.4,-0.444,0.53,0.061,-.343}
{-3.038,2.475,0.024,0.508,-0.737,-0.102,-0.358,0.706,0.6,-.209}
{-2.889,1.418,0.409,0.61,-1.018,0.992,0.005,0.518,-0.027,-.326}
{-2.710,0.809,0.754,1.903,-0.764,0.378,-1.123,0.162,0.405,1.163}
{-3.992,3.342,0.167,0.086,-1.23,-0.216,-0.824,0.837,0.521,.978}
{-3.810,1.91,0.527,0.478,-0.972,0.945,-0.28,0.719,0.482,.829}
{-4.683,0.773,0.888,2.302,-0.562,0.395,-0.401,-0.289,-0.839,1.165}
{-3.375,1.779,-0.822,0.382,-0.019,0.845,0.123,0.767,0.223,-.337}
},{,,,,,,,,
{-3.312,-0.776,-0.504,1.39,0.86,1.257,0.222,0.314,-0.715,-.765}
{-2.073,0.088,-0.73,0.296,-0.286,1.75,0.154,1.078,0.294,-.174}
{-1.222,0.491,-0.716,0.004,-0.323,1.108,-0.148,0.773,0.387,-.073}
{-2.295,0.883,-0.619,-0.041,0.143,0.378,-0.602,0.335,-0.114,-.391}
{-2.968,2.149,0.13,0.676,-0.79,0.112,-0.507,0.762,0.625,-.272}
{-2.784,1.43,0.145,0.309,-0.931,1.342,0.017,0.589,-0.044,-.273}
{-3.073,1.532,0.949,1.541,-1.058,0.272,-0.961,0.449,0.619,.969}
{-3.958,4.132,-0.074,-0.19,-1.184,-0.11,-0.679,1.198,0.442,.563}
{-3.947,2.102,0.305,0.462,-0.765,1.037,-0.618,0.741,0.345,.269}
{-4.756,0.965,0.959,2.287,-0.527,0.454,-0.41,-0.362,-0.862,1.088}
{-3.366,1.952,-0.898,0.258,0.282,0.835,0.29,0.681,0.431,-.461}
},{,,,,,,,,
